question,a,b,c,d,e,f,g,h,i,j,key,chat,key_letter,gpt_letter,Unnamed: 15,0
"1. 65yo man presents with painless hematuria, ivu is normal, prostate is mildly enlarged with mild frequency. what is the most appropriate next step?",a. us abdomen,b. flexible cystoscopy,c. mri,d. nuclear imaging,e. psa,,,,,,key: the key is b. flexible cystoscopy. [painless hematuria in an elderly (here 65 years old man) indicates carcinoma bladder for which flexible cystoscopy is done.here bep is not advanced to cause hemorrhage. there is mild enlargement of prostate and mild symptoms of prostration and hemorrhage is unlikely at this initial stage of bep which makes bladder cancer as the likely cause of painless hematuria.it is also less likely to be prostate cancer as symptoms of prostration are mild (indicates disease is not advanced). moreover bleeding in cancer prostate is less common].,"The most appropriate next step for a 65-year-old man presenting with painless hematuria, mildly enlarged prostate, and mild frequency is b. flexible cystoscopy. This is because painless hematuria in an elderly man is often indicative of bladder carcinoma, which can be confirmed or ruled out by a flexible cystoscopy procedure. At this initial stage of benign prostatic enlargement (BEP), hemorrhage is unlikely, and symptoms of prostration are mild, making bladder cancer a more likely cause of hematuria than prostate cancer. MRI, nuclear imaging, and PSA testing are not indicated in the initial assessment of painless hematuria with prostate symptoms and would not be useful in determining the cause of the bleeding. US abdomen may help diagnose certain conditions, but it is not the most appropriate next step for this particular presentation.",b,b,TRUE,
2. 74yo smoker presented to his gp with cough and sob. exam revealed pigmentation of the oral mucosa and also over the palms and soles. tests show that he is diabetic and hypokalemic. what is the most probable dx?,a. pseudocushing syndrome,b. conns disease,c. ectopic acth,d. cushings disease,e. hypothyroidism,,,,,,key: the key is c. ectopic acth. [the patient is smoker and probably developed squamous cell lung cancer which is working as a tumour producing ectopic acth causing pigmentation. resulting raised cortisole is leading to diabetes and hypokalemia (though small cell carcinoma is usual cause but squamous cell carcinoma can produce ectopic acth as paraneoplastic syndrome also)].,"The most probable diagnosis for the 74-year-old smoker presenting with cough, shortness of breath, diabetic and hypokalemic symptoms, and pigmentation of oral mucosa and palms/soles is ectopic ACTH. The patient's presentation is consistent with paraneoplastic syndrome caused by squamous cell lung cancer, which can produce ectopic ACTH and lead to raised cortisol levels resulting in diabetes and hypokalemia. Pseudocushing syndrome, Conns disease, Cushing's disease, and hypothyroidism are all less likely diagnoses in this patient based on the given symptoms. Pseudocushing syndrome typically occurs in patients with depression and obesity, and Conns disease would present with high blood pressure, not respiratory symptoms. Cushing's disease occurs due to a pituitary tumor, and hypothyroidism would present with a low thyroid hormone level, not high cortisol levels as in Cushing's syndrome. Therefore, the most probable diagnosis in this case is ectopic ACTH.",c,c,TRUE,
3. 44yo woman has lost weight over 12 months. she has also noticed episodes where her heart beats rapidly and strongly. she has a regular pulse rate of 90bpm. her ecg shows sinus rhythm. what is the most appropriate inv to be done?,a. thyroid antibodies,b. tft,c. ecg,d. echocardiogram,e. plasma glucose,,,,,,key: the key is b. tft. [the patient has paroxysmal atrial fibrillation that is why there is no arrhythmia in between attacks. from the given option tft is the appropriate test as thyrotoxycosis is a leading cause of paroxysmal atrial fibrillation and this ladies weight loss also makes thyrotoxycosis as the probable cause here].,"The correct answer is b. thyroid function test (TFT). This is because the patient has paroxysmal atrial fibrillation, which is a type of irregular heart rate that occurs in episodes, and thyrotoxicosis is a leading cause of this condition. Additionally, the patient has experienced significant weight loss, which further suggests a possible thyroid condition. The other answer options are not as appropriate because thyroid antibodies would not provide information on thyroid function, ECG has already been performed and showed sinus rhythm, echocardiogram is not necessary because the patient is not presenting with heart failure symptoms, and plasma glucose is not relevant to the patient's symptoms. Therefore, a TFT would be the most appropriate investigation to evaluate the patient's thyroid function and potentially diagnose thyrotoxicosis as the underlying cause for her symptoms.",b,b,TRUE,
"4. 79yo anorexic male complains of thirst and fatigue. he has symptoms of frequency, urgency and terminal dribbling. his urea and creatinine levels are high. his serum calcium is 1.9 and he is anemic. his bp is 165/95 mmhg. what is the most probable dx?",a. bph,b. prostate carcinoma,c. chronic pyelonephritis,d. benign nephrosclerosis,,,,,,,"key: the key is b. prostate carcinoma. explanation for question no. 4: first to say in this case (almost all features goes in favour of prostatic carcinoma like-  frequency, urgency and terminal dribbling are features of prostatism; age, anorexia and anaemia are constitutional features of carcinoma prostate and it would be accurate presentation if it was hypercalcaemia. but given calcium level is of hypocalcaemic level and it is the main cause of discrepancy to this question). renal failure from ureteral obstruction in carcinoma prostate is a common presentation.  thirst is a feature of hypercalcaemia  (here may be erroneously calcium level is given in hypocalcaemic level ; probably a bad recall).  prostate biopsy is the confirmatory diagnosis and others like psa is suggestive. ***there are some suggestion that renal failure may be the cause of hypocalcemia.","The most probable diagnosis for this patient is prostate carcinoma (option b). This is because the patient presents with symptoms that are typical of prostatism, such as frequency, urgency, and terminal dribbling. In addition, constitutional symptoms like anorexia and anemia are also present, which are commonly associated with prostate carcinoma. The fact that the serum calcium level is lower than expected for hypercalcemia, and thirst is not a presenting symptom, is somewhat contradictory to hypercalcaemia, which is commonly seen in prostate carcinoma. However, renal failure from ureteral obstruction in carcinoma prostate is a common presentation which can affect calcium levels. Prostate biopsy is the confirmatory diagnosis, and PSA test can be suggestive. The other options (BPH, chronic pyelonephritis, and benign nephrosclerosis) are less likely to be the cause of the patient's symptoms and findings.",b,b,TRUE,
"5. 64yo man has recently suffered from an mi and is on aspirin, atorvastatin and ramipril. he has been having trouble sleeping and has been losing weight for the past 4 months. he doesn’t feel like doing anything he used to enjoy and has stopped socializing. he says he gets tired easily and can’t concentrate on anything. what is the most appropriate tx?",a. lofepramine,b. dosulepin,c. citalopram,d. fluoxetine,e. phenelzine,,,,,,key: the key is c. citalopram. [among ssris sertraline is the drug of choice for ischemic heart disease. next choice is citalopram (as it is often related to torsades de pointes it is not 1st choice). if ssri cannot be used mirtazapine is recommended as next antidepressant].,"The most appropriate treatment for the 64-year-old man suffering from weight loss, insomnia, anhedonia, fatigue, and difficulty concentrating after suffering from an MI and already on aspirin, atorvastatin, and ramipril would be citalopram. Sertraline is the preferred SSRI for MI, but citalopram is the next choice. Mirtazapine is recommended if an SSRI cannot be used, but it was not listed as a possible answer. Lofepramine and dosulepin are tricyclic antidepressants and should be avoided in patients with cardiovascular disease due to their cardiotoxic effects. Fluoxetine is not recommended in elderly patients since it has a long half-life and can cause drug interactions. Phenelzine is a monoamine oxidase inhibitor, which has a high risk of hypertensive crisis and should be reserved for refractory cases. Therefore, citalopram is the most appropriate choice for this patient.",c,c,TRUE,
"6. 67yo man after a stroke, presents with left sided ptosis and constricted pupil. he also has loss of pain and temp on the right side of his body and left side of his face. which part of the brain is most likely affected?",a. frontal cortex,b. cerebellum,c. pons,d. medulla,e. parietal cortex,,,,,,key: the key is d. medulla. [the name of the condition is “lateral medullary syndrome” [ipsilateral horner syndrome and contralateral loss of pain and temperature sense].,"The correct answer is D. Medulla. The condition that likely produced these symptoms is Lateral Medullary Syndrome, also known as Wallenberg Syndrome. The medulla is responsible for many crucial functions, including controlling vital signs, such as breathing and heart rate, and relaying sensory and motor information between the brain and the rest of the body. Damage to this area can result in a range of neurological symptoms, including Horner Syndrome (ptosis and constricted pupil on the same side as the neurological damage) and loss of pain and temperature sensation on the opposite side of the body. The other brain regions listed (frontal cortex, cerebellum, pons, parietal cortex) are not responsible for the specific symptoms described in the question. Therefore, they are not the correct answer.",d,d,TRUE,
7. 60yo man presents with dysphagia and pain on swallowing both solids and liquids. a barium meal shows gross dilatation of the esophagus with a smooth narrowing at the lower end of the esophagus. what is the single most likely cause of dysphagia?,a. achalasia,b. myasthenia gravis,c. esophageal carcinoma,d. esophageal web,e. systemic sclerosis,,,,,,key: the key is a. achalasia. [dysphagia for both solid and liquid or prominently liquid suggest achalasia where dysphagia to solid suggest stricture. also gross dilatation of oesophagus with smooth narrowing at lower end is seen in achalasia. in achalasia dysphagia is usually described as progressive].,"The single most likely cause of dysphagia in this 60-year-old man with pain on swallowing both solids and liquids, and gross dilatation of the esophagus with smooth narrowing at the lower end is achalasia. Dysphagia for both solid and liquid, or prominently liquid, is suggestive of achalasia, where dysphagia to solid suggests stricture. In achalasia, dysphagia is usually described as progressive. Myasthenia gravis may cause difficulty swallowing, but it typically affects skeletal muscle and not smooth muscle like in the esophagus. Esophageal carcinoma may cause dysphagia, but it usually involves a long history of smoking and alcohol consumption. Esophageal webs are typically seen in younger patients and may cause dysphagia to solids only. Systemic sclerosis may cause esophageal dysmotility, but it usually presents with reflux symptoms before dysphagia. Therefore, the correct answer is a. achalasia.",a,a,TRUE,
"8. man undergoes a pneumonectomy. after surgery, invs show hyponatremia. what could be the cause of the biochemical change?",a. removal of hormonally active tumor,b. excess dextrose,c. excess colloid,d. excessive k+,e. hemodilution,,,,,,key: the key is a. removal of harmonically active tumour. [ectopic acth secreting tumour causes hypernatremia and body's homeostatic mechanism try to lower the level of high sodium and do a lesser degree though sodium remains in hypernatremic level or even it may be normal (this question does not mention any preoperative hypernatremia). removal of that tumour results in negative sodium balance for time being which results hyponatremia while gradually it tends to rise again to normal level].,"One possible explanation for the hyponatremia observed in the man who underwent a pneumonectomy could be the removal of a hormonally active tumor. If the man had an ectopic ACTH-secreting tumor, it could have caused hypernatremia prior to surgery. The body's homeostatic mechanisms would have tried to lower the high sodium levels, but to a lesser extent, resulting in either normal or hypernatremic levels. However, removing the tumor would result in a negative sodium balance, leading to hyponatremia. Over time, sodium levels would tend to rise back to normal levels. Excess dextrose, colloid, excessive K+, and hemodilution are unlikely to be the cause of the hyponatremia.",a,a,TRUE,
9. pregnant lady came with pain in her calf muscle with local rise in temp to the antenatal clinic. what tx should be started?,a. aspirin,b. lmwh,c. paracetamol,d. cocodamol,e. aspirin and heparin,,,,,,"key: the key is b. lmwh. [injections with low molecular weight heparin (lmwh) are usually used to treat pregnant women with dvt. lmwh is an anticoagulant, which means it prevents the blood clot getting bigger. it does not affect the developing baby ( ref: nhs.uk)].","The correct answer is b. LMWH. Injections with low molecular weight heparin (LMWH) are usually used to treat pregnant women with deep vein thrombosis (DVT). DVT is a blood clot that forms in a vein deep in the body, most commonly in the leg. This can cause pain, swelling, and warmth in the affected area. The use of LMWH is preferred in pregnant women as it is an anticoagulant that prevents the blood clot from getting bigger without affecting the developing baby. Aspirin is not recommended in pregnant women as it can affect the baby's growth and development. Paracetamol and cocodamol are painkillers and do not address the underlying issue of DVT. Aspirin and heparin together increase the risk of bleeding and are not advised. Hence, LMWH is the appropriate treatment option for a pregnant woman with symptoms of DVT.",b,b,TRUE,
"10. a 53yo female presents with an acute painful hot knee joint. she is a known case of ra. on examination, the knee is red, tender and swollen. the hamstring muscles are in spasm. her temp is 38.5c and bp is 120/80mmhg. what is the single best next inv?",a. joint aspiration for cytology and culture and sensitivity,b. joint aspiration for positive birefrengent crystals,c. joint aspiration for negative birefrengent crystals,d. blood culture,e. serum uric acid,,,,,,key:  the likely key is a. joint aspiration for cytology and culture and sensitivity. [case of septic arthritis. any chronically arthritic joint is predisposed to infection. moreover chronic use of steroid in rh. arthritis is one of the important predisposing factor.  in this age group likely organism is staphylococcus. in younger age group neisseria gonorrhea is more common].,"The correct answer is option A, joint aspiration for cytology and culture and sensitivity. This is because the patient has an acute painful hot knee joint which is a clinical presentation of septic arthritis. The patient has a history of rheumatoid arthritis which is a predisposing factor for infection. Joint aspiration for cytology and culture and sensitivity is required to identify the causative organism and determine the appropriate antibiotic therapy. Option B and C are incorrect because they are used to diagnose crystal-induced arthritis which is not the suspected cause of the patient's presentation. Option D is incorrect because it is not specific for identifying the causative organism in the joint. Option E is incorrect because serum uric acid is not useful in this case as the patient does not present with symptoms of gout.",a,a,TRUE,
