,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
0,"1. a 65yo man presents with painless hematuria, ivu is normal, prostate is mildly enlarged with mild frequency. what is the most appropriate next step? ",a. us abdomen,b. flexible cystoscopy,c. mri,d. Nuclear imaging,e. psa,,,,,,ans. the key is b. flexible cystoscopy. [painless hematuria in an elderly indicates carcinoma bladder for which flexible cystoscopy is done. here bep is not advanced to cause hemorrhage. there is mild enlargement of prostate and mild symptoms of prostration and hemorrhage is unlikely at this initial stage of bep which makes bladder cancer as the likely cause of painless hematuria. it is also less likely to be prostate cancer as symptoms of prostration are mild (indicates disease is not advanced). moreover bleeding in cancer prostate is less common]. 2. a 74yo smoker presented to his gp with cough and sob. exam revealed pigmentation of the oral ,,,,
1,2. a 74yo smoker presented to his gp with cough and sob. exam revealed pigmentation of the oral mucosa and also over the palms and soles. tests show that he is diabetic and hypokalemic. what is the most probable dx? ,a. pseudocushing syndrome,b. conns disease,c. ectopic acth,d. Cushings disease,e. hypothyroidism,,,,,,ans. the key is c. ectopic acth. [the patient is smoker and probably developed squamous cell lung cancer which is working as a tumour producing ectopic acth causing pigmentation. resulting raised cortisole is leading to diabetes and hypokalemia (though small cell carcinoma is usual cause but squamous cell carcinoma can produce ectopic acth as paraneoplastic syndrome also)]. 3. a 44yo woman has lost weight over 12 months. she has also noticed episodes where her heart ,,,,
2,3. a 44yo woman has lost weight over 12 months. she has also noticed episodes where her heart beats rapidly and strongly. she has a regular pulse rate of 90bpm. her ecg shows sinus rhythm. what is the most appropriate inv to be done? ,a. thyroid antibodies,b. tft,c. ecg,d. Echocardiogram,e. plasma glucose,,,,,,"ans. the key is b. tft. [the patient has paroxysmal atrial fibrillation that is why there is no arrhythmia in between attacks. from the given option tft is the appropriate test as thyrotoxycosis is a leading cause of paroxysmal atrial fibrillation and this ladies weight loss also makes thyrotoxycosis as the probable cause here]. 4. a 79yo anorexic male complains of thirst and fatigue. he has symptoms of frequency, urgency ",,,,
3,"4. a 79yo anorexic male complains of thirst and fatigue. he has symptoms of frequency, urgency and terminal dribbling. his urea and creatinine levels are high. his serum calcium is 1.9 and he is anemic. his bp is 165/95 mmhg. what is the most probable dx? ",a. bph,b. prostate carcinoma,c. chronic pyelonephritis,d. Benign nephrosclerosis,,,,,,,"ans. the key is b. prostate carcinoma. explanation for question no. 4: first to say in this case (almost all features goes in favour of prostatic carcinoma like- frequency, urgency and terminal dribbling are features of prostatism; age, anorexia and anaemia are constitutional features of carcinoma prostate and it would be accurate presentation if it was hypercalcaemia. but given calcium level is of hypocalcaemic level and it is the main cause of discrepancy to this question). renal failure from ureteral obstruction in carcinoma prostate is a common presentation. thirst is a feature of hypercalcaemia (here may be erroneously calcium level is given in hypocalcaemic level ; probably a bad recall). prostate biopsy is the confirmatory diagnosis and others like psa is suggestive. ***there are some suggestion that renal failure may be the cause of hypocalcemia. 5.  ",,,,
4,5.  ,a. lofepramine,b. dosulepin,c. citalopram,d. Fluoxetine,e. phenelzine,,,,,,"ans. the key is c. citalopram. [among ssris sertraline is the drug of choice for ischemic heart disease. next choice is citalopram (as it is often related to torsades de pointes it is not 1st choice). if ssri cannot be used mirtazapine is recommended as next antidepressant]. 6. a 67yo man after a stroke, presents with left sided ptosis and constricted pupil. he also has loss ",,,,
5,"6. a 67yo man after a stroke, presents with left sided ptosis and constricted pupil. he also has loss of pain and temp on the right side of his body and left side of his face. which part of the brain is most likely affected? ",a. frontal cortex,b. cerebellum,c. pons,d. Medulla,e. parietal cortex,,,,,,ans. the key is d. medulla. [the name of the condition is “lateral medullary syndrome” [ipsilateral horner syndrome and contralateral loss of pain and temperature sense]. 7. a 60yo man presents with dysphagia and pain on swallowing both solids and liquids. a barium ,,,,
6,7. a 60yo man presents with dysphagia and pain on swallowing both solids and liquids. a barium meal shows gross dilatation of the esophagus with a smooth narrowing at the lower end of the esophagus. what is the single most likely cause of dysphagia? ,a. achalasia,b. myasthenia gravis,c. esophageal carcinoma,d. Esophageal web,e. systemic sclerosis,,,,,,"ans. the key is a. achalasia. [dysphagia for both solid and liquid or prominently liquid suggest achalasia where dysphagia to solid suggest stricture. also gross dilatation of oesophagus with smooth narrowing at lower end is seen in achalasia. in achalasia dysphagia is usually described as progressive]. 8. a man undergoes a pneumonectomy. after surgery, invs show hyponatremia. what could be the ",,,,
7,"8. a man undergoes a pneumonectomy. after surgery, invs show hyponatremia. what could be the cause of the biochemical change? ",a. removal of hormonally active tumor,b. excess dextrose,c. excess colloid,d. Excessive K+,e. hemodilution,,,,,,ans. the key is a. removal of harmonically active tumour. [ectopic acth secreting tumour causes hypernatremia and body's homeostatic mechanism try to lower the level of high sodium and do a lesser degree though sodium remains in hypernatremic level or even it may be normal (this question does not mention any preoperative hypernatremia). removal of that tumour results in negative sodium balance for time being which results hyponatremia while gradually it tends to rise again to normal level]. 9. a pregnant lady came with pain in her calf muscle with local rise in temp to the antenatal clinic. ,,,,
8,9. a pregnant lady came with pain in her calf muscle with local rise in temp to the antenatal clinic. what tx should be started? ,a. aspirin,b. lmwh,c. paracetamol,d. Cocodamol,e. aspirin and heparin,,,,,,"ans. the key is b. lmwh. [injections with low molecular weight heparin (lmwh) are usually used to treat pregnant women with dvt. lmwh is an anticoagulant, which means it prevents the blood clot getting bigger. it does not affect the developing baby ( ref: nhs.uk)].  10. a 53yo female presents with an acute painful hot knee joint. she is a known case of ra. on ",,,,
9,"10. a 53yo female presents with an acute painful hot knee joint. she is a known case of ra. on examination, the knee is red, tender and swollen. the hamstring muscles are in spasm. her temp is 38.5c and bp is 120/80mmhg. what is the single best next inv? ",a. joint aspiration for cytology and culture and sensitivity,b. joint aspiration for positive birefrengent crystals,c. joint aspiration for negative birefrengent crystals,d. Blood culture,e. serum uric acid,,,,,,ans. the likely key is a. joint aspiration for cytology and culture and sensitivity. [case of septic arthritis. any chronically arthritic joint is predisposed to infection. moreover chronic use of steroid in rh. arthritis is one of the important predisposing factor. in this age group likely organism is staphylococcus. in younger age group neisseria gonorrhea is more common]. 11. an 80yo man presented with pain in his lower back and hip. he also complains of waking up in ,,,,
